,question
4379,Pot some plants and put them around your house
4380,Explore a park you have never been to before
4381,Look at pictures and videos of cute animals
4382,Take a nap
4383,Learn Javascript
4384,Clean out your refrigerator
4385,Learn how to make a website
4386,Go to a local thrift shop
4387,Prepare a 72-hour kit
4388,Make a couch fort
4389,Learn to write with your nondominant hand
4390,Write a handwritten letter to somebody
4391,Go to the gym
4392,Learn Javascript
4393,Bake pastries for you and your neighbor
4394,Have a football scrimmage with some friends
4395,Compliment someone
4396,Hold a video game tournament with some friends
4397,Bake a pie with some friends
4398,Learn Morse code
4399,Learn how to use a french press
4400,Go see a Broadway production
4401,Go to a concert with local artists with some friends
4402,Play a game of tennis with a friend
4403,Learn how the internet works
4404,Go for a walk
4405,Buy a new house decoration
4406,Listen to your favorite album
4407,Do yoga
4408,Host a movie marathon with some friends
4409,Learn Kotlin
4410,Study a foreign language
4411,Make tie dye shirts
4412,Watch the sunset or the sunrise
4413,Plan a trip to another country
4414,Listen to your favorite album
4415,Go swimming with a friend
4416,Make tie dye shirts
4417,Take a bubble bath
4418,Draw and color a Mandala
4419,Learn how to use an Arduino
4420,Watch a Khan Academy lecture on a subject of your choosing
4421,Write a short story
4422,Learn the periodic table
4423,Plant a tree
4424,Learn to write with your nondominant hand
4425,Back up important computer files
4426,Pick up litter around your favorite park
4427,Do something you used to do as a kid
4428,Start a daily journal
4429,Learn Express.js
4430,Find a charity and donate to it
4431,Organize your pantry
4432,Go on a fishing trip with some friends
4433,Watch a classic movie
4434,Listen to a new podcast
4435,Make a simple musical instrument
4436,Clean out your closet and donate the clothes you've outgrown
4437,Listen to your favorite album
4438,Buy a new house decoration
4439,Sit in the dark and listen to your favorite music with no distractions
4440,Color
4441,Do yoga
4442,Clean out your closet and donate the clothes you've outgrown
4443,Contribute code or a monetary donation to an open-source software project
4444,Wash your car
4445,Volunteer at your local food pantry
4446,Cook something together with someone
4447,Learn how to write in shorthand
4448,Mow your lawn
4449,Go to a karaoke bar with some friends
4450,Start a blog for something you're passionate about
4451,Study a foreign language
4452,Start a book you've never gotten around to reading
4453,Learn origami
4454,Learn the Chinese erhu
4455,Write a thank you letter to an influential person in your life
4456,Catch up on world news
4457,Catch up with a friend over a lunch date
4458,Learn Javascript
4459,Learn how to french braid hair
4460,Plant a tree
4461,Create or update your resume
4462,Meditate for five minutes
4463,Catch up with a friend over a lunch date
4464,Watch a Khan Academy lecture on a subject of your choosing
4465,Learn Kotlin
4466,Go see a movie in theaters with a few friends
4467,Clean out your closet and donate the clothes you've outgrown
4468,Take a nap
4469,Listen to a new podcast
4470,Play basketball with a group of friends
4471,Pull a harmless prank on one of your friends
4472,Take a bubble bath
4473,Play a game of tennis with a friend
4474,Take a bubble bath
4475,Memorize the fifty states and their capitals
4476,Donate to your local food bank
4477,Start a blog for something you're passionate about
4478,Prepare a dish from a foreign culture
4479,Paint the first thing you see
4480,Have a football scrimmage with some friends
4481,Learn to play a new instrument
4482,Create a personal website
4483,Make a simple musical instrument
4484,Start a family tree
4485,Resolve a problem you've been putting off
4486,Play basketball with a group of friends
4487,Find a DIY to do
4488,Watch a classic movie
4489,Rearrange and organize your room
4490,Pot some plants and put them around your house
4491,Hold a video game tournament with some friends
4492,Write a list of things you are grateful for
4493,Plan a trip to another country
4494,Sit in the dark and listen to your favorite music with no distractions
4495,Hold a yard sale
4496,Learn to sew on a button
4497,Teach your dog a new trick
4498,Memorize a favorite quote or poem
4499,Do yoga
4500,Learn how to iceskate or rollerskate
4501,Have a bonfire with your close friends
4502,Learn the Chinese erhu
4503,Learn to sew on a button
4504,Play a video game
4505,Repaint a room in your house
4506,Memorize the fifty states and their capitals
4507,Make your own LEGO creation
4508,Go see a Broadway production
4509,Memorize a favorite quote or poem
4510,Learn Javascript
4511,Learn Javascript
4512,Visit your past teachers
4513,Take your cat on a walk
4514,Do yoga
4515,Do a jigsaw puzzle
4516,Make a bucket list
4517,Take a class at your local community center that interests you
4518,Solve a Rubik's cube
4519,Invite some friends over for a game night
4520,Research a topic you're interested in
4521,Go to an escape room
4522,Clean out your car
4523,Prepare a 72-hour kit
4524,Make tie dye shirts
4525,Take your dog on a walk
4526,Go to a local thrift shop
4527,Make a scrapbook with pictures of your favorite memories
4528,Learn how to use an Arduino
4529,Learn how to make an Alexa skill
4530,Make a to-do list for your week
4531,Solve a Rubik's cube
4532,Go on a long drive with no music
4533,Learn the Chinese erhu
4534,Look at pictures and videos of cute animals
4535,Learn the NATO phonetic alphabet
4536,Rearrange and organize your room
4537,Make a budget
4538,Hold a video game tournament with some friends
4539,Take a caffeine nap
4540,Make homemade ice cream
4541,Play a video game
4542,Watch a movie you'd never usually watch
4543,Watch the sunset or the sunrise
4544,Play a video game
4545,Shop at support your local farmers market
4546,Plant a tree
4547,Cook something together with someone
4548,Create a meal plan for the coming week
4549,Invite some friends over for a game night
4550,Pot some plants and put them around your house
4551,Learn origami
4552,Color
4553,Learn and play a new card game
4554,Color
4555,Make bread from scratch
4556,Learn a new programming language
4557,Learn how to fold a paper crane
4558,Make a scrapbook with pictures of your favorite memories
4559,Watch a classic movie
4560,Start a daily journal
4561,Go see a Broadway production
4562,Pot some plants and put them around your house
4563,Draw something interesting
4564,Have a bonfire with your close friends
4565,Go to a local thrift shop
4566,Make a couch fort
4567,Listen to a new podcast
4568,Write a list of things you are grateful for
4569,Bake something you've never tried before
4570,Pull a harmless prank on one of your friends
4571,Uninstall unused apps from your devices
4572,Plan a trip to another country
4573,Prepare a dish from a foreign culture
4574,Binge watch a trending series
4575,Take your dog on a walk
4576,Go see a Broadway production
4577,Create a compost pile
4578,Draw something interesting
4579,Find a DIY to do
4580,Learn and play a new card game
4581,Research a topic you're interested in
4582,Start a collection
4583,Bake a pie with some friends
4584,Watch a classic movie
4585,Do yoga
4586,Learn and play a new card game
4587,Make a new friend
4588,Buy a new house decoration
4589,Look at pictures and videos of cute animals
4590,Learn how to play a new sport
4591,Start a webinar on a topic of your choice
4592,Go to a karaoke bar with some friends
4593,Prepare a dish from a foreign culture
4594,Learn how to french braid hair
4595,Take a spontaneous road trip with some friends
4596,Prepare a 72-hour kit
4597,Make a to-do list for your week
4598,Learn how to fold a paper crane
4599,Donate blood at a local blood center
4600,Write a handwritten letter to somebody
4601,Try a food you don't like
4602,Bake something you've never tried before
4603,Make a couch fort
4604,Volunteer and help out at a senior center
4605,Learn a new programming language
4606,Draw something interesting
4607,Compliment someone
4608,Go on a long drive with no music
4609,Do something nice for someone you care about
4610,Make a new friend
4611,Take a bubble bath
4612,Learn how to french braid hair
4613,Configure two-factor authentication on your accounts
4614,Improve your touch typing
4615,Plant a tree
4616,Have a photo session with some friends
4617,Learn how to play a new sport
4618,Look at pictures and videos of cute animals
4619,Organize your dresser
4620,Create a compost pile
